Custom chart monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=008&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M&columnchart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M&map=ELEC.GEN.WND-US-99.M&freq=M&start=200101&end=202207&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.PEL-US-99.M~ELEC.GEN.PC-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.OOG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.BIO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M~ELEC.GEN.HPS-US-99.M~ELEC.GEN.OTH-US-99.M~ELEC.GEN.TSN-US-99.M~ELEC.GEN.DPV-US-99.M
13:29:34 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Net generation : wind : United States : all sectors : monthly thousand megawatthours,Net generation : wind : Iowa : all sectors : monthly thousand megawatthours,Net generation : wind : Texas : all sectors : monthly thousand megawatthours
Jul 2004,1164.37009,37.95463,220.80204
Jun 2004,1397.20574,56.5232,288.89813
May 2004,1701.65148,108.86046,392.8625
Apr 2004,1294.8568,101.14239,304.79032
Mar 2004,1291.224,120.20005,292.65972
Feb 2004,1021.56897,119.43979,251.04995
Jan 2004,999.44521,102.75731,253.12394
Dec 2003,1104.881,123.136,286.351
Nov 2003,961.432,100.289,227.643
Oct 2003,897.161,98.887,168.134
Sep 2003,895.054,66.546,196.229
Aug 2003,815.429,33.237,192.641
Jul 2003,953.396,49.595,239.586
Jun 2003,1047.144,50.023,213.226
May 2003,1006.383,78.212,209.163
Apr 2003,1092.766,99.337,260.324
Mar 2003,1036.104,104.63,215.447
Feb 2003,745.375,91.498,190.098
Jan 2003,632.34,86.581,171.01
Dec 2002,755.194,94.858,203.936
Nov 2002,655.946,80.62,170.311
Oct 2002,734.355,72.52,173.421
Sep 2002,735.828,53.39,163.651
Aug 2002,976.691,47.461,247.536
Jul 2002,890.455,45.378,218.034
Jun 2002,1126.315,74.748,257.712
May 2002,1077.641,87.149,264.416
Apr 2002,1024.417,96.58,236.924
Mar 2002,852.102,80.001,238.396
Feb 2002,713.932,102.587,194.607
Jan 2002,811.402,83.542,287.16
Dec 2001,615.657,58.842,142.904
Nov 2001,470.448,51.419,89.264
Oct 2001,606.829,52.246,123.255
Sep 2001,490.229,26.291,75.75
Aug 2001,577.206,24.805,55.825
Jul 2001,634.992,22.59,76.348
Jun 2001,669.634,35.405,92.156
May 2001,635.029,48.081,103.312
Apr 2001,684.695,53.936,115.487
Mar 2001,532.12,37.51,87.631
Feb 2001,431.242,33.105,141.647
Jan 2001,389.25,43.633,83.931
